,Linear,Geometric,Tree-Based,NeuralNetwork-Based
EcogPtLang,0.04982546925374111,0.067732256435709,0.06377602318701475,0.26304188924665234
CLOCKTIME,0.009610336314716368,0.09052228228127039,0.01050724028164638,0.29764270532106857
ST127SV,0.01627754835985009,0.05778537250215926,0.06691430380548491,0.2687245910615518
MH14ALCH,0.006731034223919649,0.041038104906765696,0.009735691060470383,0.311567277525203
MH17MALI,0.08931183449450318,0.10299232224735967,0.01163671314033511,0.21941732234435554
EcogSPDivatt,0.006821046896589215,0.08491296869898439,0.037724639347607565,0.2651774659305511
MH12RENA,0.03412559710906039,0.1621865709657693,0.010312485617197114,0.19371215107056466
BCANKLE,0.06628171750747552,0.13086781182988313,0.012103324442019925,0.1972734016527183
MH6HEPAT,0.04096656257090876,0.054062206545337,0.011033973228826974,0.25887891951390885
CLOCKSYM,0.0790067051298218,0.08682508382169722,0.014089419629741954,0.2063717475517185
MOCA,0.0,0.09077762553527777,0.01701643919173673,0.24971097148665677
COPYTIME,0.07325573928052449,0.07622929867435561,0.01070475461307753,0.21232556450709933
TRABSCOR,0.003774252770607283,0.058217697025343344,0.016615861615222015,0.2638541598552586
MH4CARD,0.038984802120115875,0.08414105097418637,0.010185041530595238,0.22753470692117655
ST37SV,0.005462167179475981,0.06310948176653922,0.022144391076196566,0.25452385871617544
ST83TS,0.039845343186275244,0.06024550330930264,0.037491856709783895,0.2250431983687752
EcogPtPlan,0.014148546991947971,0.0399355447274611,0.02945791739211597,0.2535380474526425
ANARTERR,0.0259426250629456,0.05636798164597896,0.026891852186902012,0.235796701995492
BCVISION,0.13706527744017633,0.08466935653243643,0.012614794978423771,0.1300979031119721
MH7DERM,0.023110743877461638,0.09543945395097476,0.011614066845692453,0.21318820303420732
ST26TS,0.0022147364412857464,0.024692503791235724,0.20469622198948978,0.10890783787058349
ABETA,0.0,0.05734158173272448,0.02868188510180754,0.23756613415053005
ST34TA,0.0,0.07450605705329692,0.04878768695552261,0.2063827797337725
COPYSYM,0.0721437538041542,0.0606830546617877,0.01729991456831313,0.18382575434156914
ST97TS,0.003776719466807388,0.06439738374833628,0.03345111229138821,0.21698115796178707
EcogPtTotal,0.0,0.05453794939320258,0.040387610830531724,0.21948649901229397
